,음식,구간,label
230,"('보리밥', '찐감자', '쇠고기수육')",12,294
231,"('수수밥', '사과', '과일샐러드')",5,322
232,"('수수밥', '사과', '마늘쫑무침')",1,326
233,"('수수밥', '사과', '두부조림')",2,325
234,"('수수밥', '사과', '건취나물무침')",1,319
235,"('수수밥', '사과', '고구마줄기나물무침')",1,321
236,"('수수밥', '사과', '시금치나물무침')",1,328
237,"('수수밥', '사과', '달걀프라이')",4,323
238,"('수수밥', '사과', '닭가슴살샐러드')",7,324
239,"('수수밥', '사과', '고구마맛탕')",11,320
240,"('수수밥', '사과', '채소샐러드')",8,329
241,"('수수밥', '사과', '쇠고기수육')",11,327
242,"('수수밥', '포도', '과일샐러드')",5,377
243,"('수수밥', '포도', '마늘쫑무침')",2,381
244,"('수수밥', '포도', '두부조림')",3,380
245,"('수수밥', '포도', '건취나물무침')",2,374
246,"('수수밥', '포도', '고구마줄기나물무침')",2,376
247,"('수수밥', '포도', '시금치나물무침')",2,383
248,"('수수밥', '포도', '달걀프라이')",5,378
249,"('수수밥', '포도', '닭가슴살샐러드')",7,379
250,"('수수밥', '포도', '고구마맛탕')",11,375
251,"('수수밥', '포도', '채소샐러드')",8,384
252,"('수수밥', '포도', '쇠고기수육')",11,382
253,"('수수밥', '오렌지', '과일샐러드')",5,355
254,"('수수밥', '오렌지', '마늘쫑무침')",1,359
255,"('수수밥', '오렌지', '두부조림')",3,358
256,"('수수밥', '오렌지', '건취나물무침')",2,352
257,"('수수밥', '오렌지', '고구마줄기나물무침')",2,354
258,"('수수밥', '오렌지', '시금치나물무침')",1,361
259,"('수수밥', '오렌지', '달걀프라이')",5,356
260,"('수수밥', '오렌지', '닭가슴살샐러드')",7,357
261,"('수수밥', '오렌지', '고구마맛탕')",11,353
262,"('수수밥', '오렌지', '채소샐러드')",8,362
263,"('수수밥', '오렌지', '쇠고기수육')",11,360
264,"('수수밥', '딸기', '과일샐러드')",3,311
265,"('수수밥', '딸기', '마늘쫑무침')",1,315
266,"('수수밥', '딸기', '두부조림')",1,314
267,"('수수밥', '딸기', '건취나물무침')",1,308
268,"('수수밥', '딸기', '고구마줄기나물무침')",1,310
269,"('수수밥', '딸기', '시금치나물무침')",1,317
270,"('수수밥', '딸기', '달걀프라이')",3,312
271,"('수수밥', '딸기', '닭가슴살샐러드')",6,313
272,"('수수밥', '딸기', '고구마맛탕')",10,309
273,"('수수밥', '딸기', '채소샐러드')",7,318
274,"('수수밥', '딸기', '쇠고기수육')",10,316
275,"('수수밥', '수정과', '과일샐러드')",7,333
276,"('수수밥', '수정과', '마늘쫑무침')",3,337
277,"('수수밥', '수정과', '두부조림')",5,336
278,"('수수밥', '수정과', '건취나물무침')",4,330
279,"('수수밥', '수정과', '고구마줄기나물무침')",4,332
280,"('수수밥', '수정과', '시금치나물무침')",3,339
281,"('수수밥', '수정과', '달걀프라이')",7,334
282,"('수수밥', '수정과', '닭가슴살샐러드')",9,335
283,"('수수밥', '수정과', '고구마맛탕')",12,331
284,"('수수밥', '수정과', '채소샐러드')",9,340
285,"('수수밥', '수정과', '쇠고기수육')",12,338
286,"('수수밥', '식혜', '과일샐러드')",7,344
287,"('수수밥', '식혜', '마늘쫑무침')",3,348
288,"('수수밥', '식혜', '두부조림')",5,347
289,"('수수밥', '식혜', '건취나물무침')",4,341
290,"('수수밥', '식혜', '고구마줄기나물무침')",4,343
291,"('수수밥', '식혜', '시금치나물무침')",3,350
292,"('수수밥', '식혜', '달걀프라이')",7,345
293,"('수수밥', '식혜', '닭가슴살샐러드')",9,346
294,"('수수밥', '식혜', '고구마맛탕')",12,342
295,"('수수밥', '식혜', '채소샐러드')",9,351
