,음식,label,구간
363,"('도토리묵밥(반공기)', '홍합우거지국', '진미채볶음')",1534,24
364,"('도토리묵밥(반공기)', '홍합우거지국', '낚지볶음')",1528,30
365,"('도토리묵밥(반공기)', '홍합우거지국', '김치참치볶음')",1527,6
366,"('도토리묵밥(반공기)', '홍합우거지국', '갈치구이')",1520,31
367,"('도토리묵밥(반공기)', '홍합우거지국', '조기구이')",1533,15
368,"('도토리묵밥(반공기)', '홍합우거지국', '잔멸치볶음')",1532,9
369,"('도토리묵밥(반공기)', '홍합우거지국', '감자채볶음')",1521,13
370,"('도토리묵밥(반공기)', '홍합우거지국', '애호박볶음')",1531,14
371,"('도토리묵밥(반공기)', '홍합우거지국', '골뱅이무침')",1526,18
372,"('도토리묵밥(반공기)', '홍합우거지국', '홍합무침')",1538,17
373,"('도토리묵밥(반공기)', '홍합우거지국', '코다리찜')",1535,23
374,"('도토리묵밥(반공기)', '홍합우거지국', '콩나물찜')",1537,31
375,"('도토리묵밥(반공기)', '홍합우거지국', '훈제닭가슴살')",1539,21
